egfr_normalized,vegfr2_normalized
0.47336712657142893,0.7825819757619021
0.483884402683803,0.7773899350847516
0.5005871372312936,0.7756820563999993
0.5594901357378278,0.774392945425851
0.6830956385785685,0.7728792258333301
0.6834926569999958,0.7711017846666641
0.6961998857619021,0.7700883573452353
0.7534013643476144,0.7672448077619026
0.7560396305142818,0.7623855289047606
0.7657732573333301,0.7550404199166643
0.779259137490474,0.7515608722976168
0.7822575211190459,0.743468261297617
0.7915955397142831,0.6940372124285732
0.8081101037619006,0.6928321352857191
0.8128473362857128,0.6925267092500018
0.8249007217142827,0.6802941952857174
0.8262964261428536,0.6264870387142877
0.830157757999997,0.6056778542857161
0.8350880036666631,0.5071442964642838
