parp1_normalized,brd4_normalized
0.5684121428571446,0.7405157142857204
0.5806464285714297,0.7403000000000066
0.6218007142857165,0.7383364285714374
0.6418000000000017,0.7342992857142898
0.6535042857142866,0.7310657142857188
0.6561200000000014,0.7275464285714326
0.6623900000000036,0.7195207142857166
0.6889035714285717,0.7192835714285764
0.6896321428571431,0.7125357142857182
0.703215714285711,0.7076492857142889
0.7043807142857152,0.6974921428571486
0.7125050000000027,0.6959942857142937
0.7175235714285731,0.688813095238101
0.7223942857142858,0.6830382142857214
0.7345471428571473,0.6818889285714352
0.7459957142857255,0.6728417857142913
0.7530564285714364,0.6675530612244971
0.7800742857142927,0.6556838945578282
0.7868314285714345,0.6067975000000033
0.7927800000000074,0.5876527040816372
0.7933821428571507,0.5716298469387812
0.7936807142857221,0.5609766326530662
0.7953435714285794,0.5377215136054453
0.7968285714285785,0.521889608843541
