"pair_key","target_pair","method","method_key","source_seed","within_seed_rank","compound_id","canonical_smiles","predicted_target_1","predicted_target_2","min_predicted_activity","mean_predicted_activity","qed","sa","logp","source_file","BRD4","EGFR","PARP1","VEGFR2","target_1_vina","target_2_vina","dual_worst_vina","dual_mean_vina","dual_pass","nearest_train_similarity","average_novelty_1_minus_tanimoto","exact_training_structure_novel"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","2","CLV_AS43_02","Cc1ccsc1CNC(=O)Nc1ccnc(Oc2ccc(N(C)C)cn2)c1","7.650007247924805","7.507686138153076","7.507686138153076","7.57884669303894","0.6718715100218962","2.6304885992006586","4.026520000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.3","","-9.4","-7.3","-9.4","-7.3","-8.35","True","0.5806451612903226","0.4193548387096774","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","3","CLV_AS43_03","Cc1ccsc1Cc1cc(NC(=O)NCc2ccno2)ccn1","7.870278835296631","7.506519317626953","7.506519317626953","7.688399076461792","0.7524791782723372","2.760330588128829","3.3520200000000004","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.4","","-9.2","-7.4","-9.2","-7.4","-8.3","True","0.5","0.5","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","4","CLV_AS43_04","CS(=O)(=O)c1nocc1S(=O)(=O)Nc1ccnc(Nc2ccncc2)c1","7.649509906768799","7.473395824432373","7.473395824432373","7.561452865600586","0.6325655030589767","2.8993656327724064","1.4125","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.9","","-8.1","-6.9","-8.1","-6.9","-7.5","False","0.40384615384615385","0.5961538461538461","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","5","CLV_AS43_05","Cc1ccsc1NC(=O)c1ccnc(S(=O)(=O)N2CCCC2)c1","7.825103282928467","7.434442043304443","7.434442043304443","7.629772663116455","0.9176918181652198","2.477828767056673","2.4883200000000008","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-8.3","","-8.3","-8.3","-8.3","-8.3","-8.3","True","0.5333333333333333","0.4666666666666667","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","6","CLV_AS43_06","Cc1ccsc1S(=O)(=O)NCC(=O)Nc1ccnc(C(F)F)c1","7.888085842132568","7.397103309631348","7.397103309631348","7.642594575881958","0.826372660517038","2.693816696050757","2.30612","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.3","","-8.4","-7.3","-8.4","-7.3","-7.85","True","0.453125","0.546875","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","7","CLV_AS43_07","CCS(=O)(=O)N(C)CC(=O)Nc1ccnc(CN2CCNC2=O)c1","7.38023567199707","7.467100143432617","7.38023567199707","7.423667907714844","0.7050500607952257","2.6888069298641444","-0.1731999999999986","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.6","","-7.7","-6.6","-7.7","-6.6","-7.15","False","0.47540983606557374","0.5245901639344263","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","8","CLV_AS43_08","CCS(=O)(=O)Nc1cc(Nc2nccs2)ccn1","7.37655782699585","7.379171848297119","7.37655782699585","7.377864837646484","0.8774685949906846","2.527656149973815","2.0433","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.6","","-7.2","-6.6","-7.2","-6.6","-6.9","False","0.4680851063829787","0.5319148936170213","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","9","CLV_AS43_09","Cc1ccsc1CNC(=O)Nc1ccnc(OC2CCC2)c1","7.68278169631958","7.367016315460205","7.367016315460205","7.524899005889893","0.8834794340721719","2.420312368175768","3.704520000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-6.9","","-9.0","-6.9","-9.0","-6.9","-7.95","False","0.6065573770491803","0.39344262295081966","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","43","10","CLV_AS43_10","CCS(=O)(=O)NCc1cc(Nc2nc(Cc3ccco3)oc2C)ccn1","7.384609222412109","7.296126842498779","7.296126842498779","7.340368032455444","0.621737928203969","2.996991859526032","2.744720000000001","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed43/evaluation/quality_constrained/quality_annotated_molecules.csv","","-7.7","","-9.0","-7.7","-9.0","-7.7","-8.35","True","0.37142857142857144","0.6285714285714286","True"
"pairA","EGFR/VEGFR2","CLOVER-Mol","own","44","1","CLV_AS44_01","Cc1ccsc1C(C)C(=O)Nc1ccnc(NC(=O)Nc2ccoc2)c1","7.810352802276611","7.711636066436768","7.711636066436768","7.7609944343566895","0.6188339013824706","3.244400543751002","4.430720000000002","results/own_method_v4/common_seeds_42_51_10240/v4_b_raw_mean_seed44/evaluation/quality_constrained/quality_annotated_molecules.csv","","-8.0","","-9.1","-8.0","-9.1","-8.0","-8.55","True","0.4193548387096774","0.5806451612903226","True"
