compound_id,nearest_train_similarity,average_novelty_1_minus_tanimoto,exact_training_structure_novel
CLV_AS42_01,0.4545454545454545,0.5454545454545455,True
CLV_AS42_02,0.4307692307692308,0.5692307692307692,True
CLV_AS42_03,0.5333333333333333,0.4666666666666667,True
CLV_AS42_04,0.46875,0.53125,True
CLV_AS42_05,0.4626865671641791,0.5373134328358209,True
CLV_AS42_06,0.5932203389830508,0.4067796610169492,True
CLV_AS42_07,0.4838709677419355,0.5161290322580645,True
CLV_AS42_08,0.46774193548387094,0.532258064516129,True
CLV_AS42_09,0.631578947368421,0.368421052631579,True
CLV_AS42_10,0.45098039215686275,0.5490196078431373,True
CLV_AS43_01,0.5,0.5,True
CLV_AS43_02,0.5806451612903226,0.4193548387096774,True
CLV_AS43_03,0.5,0.5,True
CLV_AS43_04,0.40384615384615385,0.5961538461538461,True
CLV_AS43_05,0.5333333333333333,0.4666666666666667,True
CLV_AS43_06,0.453125,0.546875,True
CLV_AS43_07,0.47540983606557374,0.5245901639344263,True
CLV_AS43_08,0.4680851063829787,0.5319148936170213,True
CLV_AS43_09,0.6065573770491803,0.39344262295081966,True
CLV_AS43_10,0.37142857142857144,0.6285714285714286,True
CLV_AS44_01,0.4193548387096774,0.5806451612903226,True
CLV_AS44_02,0.4918032786885246,0.5081967213114754,True
CLV_AS44_03,0.4629629629629629,0.5370370370370371,True
CLV_AS44_04,0.45614035087719296,0.543859649122807,True
CLV_AS44_05,0.5283018867924528,0.4716981132075472,True
CLV_AS44_06,0.5178571428571429,0.4821428571428571,True
CLV_AS44_07,0.41379310344827586,0.5862068965517242,True
CLV_AS44_08,0.5,0.5,True
CLV_AS44_09,0.5,0.5,True
CLV_AS44_10,0.4307692307692308,0.5692307692307692,True
CLV_AS45_01,0.58,0.42000000000000004,True
CLV_AS45_02,0.4761904761904761,0.523809523809524,True
CLV_AS45_03,0.4714285714285714,0.5285714285714286,True
CLV_AS45_04,0.46551724137931033,0.5344827586206897,True
CLV_AS45_05,0.5074626865671642,0.4925373134328358,True
CLV_AS45_06,0.4025974025974026,0.5974025974025974,True
CLV_AS45_07,0.5686274509803921,0.43137254901960786,True
CLV_AS45_08,0.625,0.375,True
CLV_AS45_09,0.5254237288135594,0.47457627118644063,True
CLV_AS45_10,0.6461538461538462,0.3538461538461538,True
CLV_AS46_01,0.4461538461538462,0.5538461538461539,True
CLV_AS46_02,0.603448275862069,0.39655172413793105,True
CLV_AS46_03,0.5,0.5,True
CLV_AS46_04,0.4603174603174603,0.5396825396825398,True
CLV_AS46_05,0.631578947368421,0.368421052631579,True
CLV_AS46_06,0.559322033898305,0.44067796610169496,True
CLV_AS46_07,0.43548387096774194,0.564516129032258,True
CLV_AS46_08,0.5892857142857143,0.4107142857142857,True
CLV_AS46_09,0.36507936507936506,0.6349206349206349,True
CLV_AS46_10,0.41818181818181815,0.5818181818181818,True
CLV_AS47_01,0.5769230769230769,0.42307692307692313,True
CLV_AS47_02,0.4406779661016949,0.5593220338983051,True
CLV_AS47_03,0.5686274509803921,0.43137254901960786,True
CLV_AS47_04,0.5185185185185185,0.4814814814814815,True
CLV_AS47_05,0.4406779661016949,0.5593220338983051,True
CLV_AS47_06,0.46551724137931033,0.5344827586206897,True
CLV_AS47_07,0.3815789473684211,0.618421052631579,True
CLV_AS47_08,0.4,0.6,True
CLV_AS47_09,0.5370370370370371,0.4629629629629629,True
CLV_AS47_10,0.5925925925925926,0.40740740740740744,True
CLV_AS48_01,0.4561403508771929,0.5438596491228072,True
CLV_AS48_02,0.6041666666666666,0.39583333333333337,True
CLV_AS48_03,0.5166666666666667,0.4833333333333333,True
CLV_AS48_04,0.45,0.55,True
CLV_AS48_05,0.43636363636363634,0.5636363636363637,True
CLV_AS48_06,0.45161290322580644,0.5483870967741935,True
CLV_AS48_07,0.5517241379310345,0.4482758620689655,True
CLV_AS48_08,0.42105263157894735,0.5789473684210527,True
CLV_AS48_09,0.5294117647058824,0.47058823529411764,True
CLV_AS48_10,0.5490196078431373,0.4509803921568627,True
CLV_AS49_01,0.5161290322580645,0.4838709677419355,True
CLV_AS49_02,0.5535714285714286,0.4464285714285714,True
CLV_AS49_03,0.4444444444444444,0.5555555555555556,True
CLV_AS49_04,0.5714285714285714,0.4285714285714286,True
CLV_AS49_05,0.4528301886792453,0.5471698113207547,True
CLV_AS49_06,0.45901639344262296,0.540983606557377,True
CLV_AS49_07,0.5166666666666667,0.4833333333333333,True
CLV_AS49_08,0.6885245901639344,0.3114754098360656,True
CLV_AS49_09,0.5172413793103449,0.48275862068965514,True
CLV_AS49_10,0.38181818181818183,0.6181818181818182,True
CLV_AS50_01,0.4423076923076923,0.5576923076923077,True
CLV_AS50_02,0.4680851063829787,0.5319148936170213,True
CLV_AS50_03,0.3728813559322034,0.6271186440677966,True
CLV_AS50_04,0.43283582089552236,0.5671641791044777,True
CLV_AS50_05,0.5230769230769231,0.4769230769230769,True
CLV_AS50_06,0.45454545454545453,0.5454545454545454,True
CLV_AS50_07,0.42857142857142855,0.5714285714285714,True
CLV_AS50_08,0.5076923076923077,0.49230769230769234,True
CLV_AS50_09,0.4576271186440678,0.5423728813559322,True
CLV_AS50_10,0.35294117647058826,0.6470588235294117,True
CLV_AS51_01,0.5185185185185185,0.4814814814814815,True
CLV_AS51_02,0.5882352941176471,0.4117647058823529,True
CLV_AS51_03,0.6,0.4,True
CLV_AS51_04,0.49122807017543857,0.5087719298245614,True
CLV_AS51_05,0.49122807017543857,0.5087719298245614,True
CLV_AS51_06,0.6296296296296297,0.37037037037037035,True
CLV_AS51_07,0.5714285714285714,0.4285714285714286,True
CLV_AS51_08,0.5862068965517241,0.4137931034482759,True
