pair_key,target_pair,method,source_seed,n,best,mean,median,variance,dual_pass_n,dual_pass_rate,qed,sa,logp,average_novelty,exact_structure_novelty_rate
pairA,EGFR/VEGFR2,CLOVER-Mol,42,10,-7.9,-7.26,-7.4,0.3071111111111109,7,0.7,0.714507427566871,2.6856357677775606,3.460764000000001,0.5022522832453661,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,43,10,-8.3,-7.220000000000001,-7.25,0.2684444444444447,6,0.6,0.764441372266395,2.6936028891931145,2.570774000000001,0.5107569460603886,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,44,10,-8.1,-7.4,-7.45,0.24222222222222203,9,0.9,0.7470155605027435,2.5970756785293316,3.730830000000001,0.527901720489454,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,45,10,-9.2,-7.529999999999999,-7.3,0.6534444444444445,9,0.9,0.7412874469972589,2.6884386690201696,3.537602000000001,0.47315985958892776,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,46,10,-7.9,-7.25,-7.4,0.3316666666666665,8,0.8,0.723151432583612,2.635429710298122,2.9874300000000007,0.4991148667885259,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,47,10,-8.2,-7.540000000000001,-7.4,0.1804444444444443,9,0.9,0.739809490341876,2.5166867662313233,3.439700000000001,0.5077849202997262,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,48,10,-8.0,-7.15,-7.15,0.19166666666666665,8,0.8,0.8066847560399986,2.6068232336386794,3.609752000000001,0.503384163414103,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,49,10,-8.3,-7.390000000000001,-7.35,0.29433333333333367,8,0.8,0.7518029808120519,2.4863974711623076,2.9620600000000006,0.4898329123216495,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,50,10,-8.0,-7.2299999999999995,-7.35,0.2823333333333334,7,0.7,0.810889919091515,2.781198732832083,1.973002,0.5559435615480833,1.0
pairA,EGFR/VEGFR2,CLOVER-Mol,51,10,-8.1,-7.640000000000001,-7.6,0.08044444444444447,10,1.0,0.6944459231560864,2.413313752496525,3.4903900000000005,0.44932219191000017,1.0
pairA,EGFR/VEGFR2,POLYGON,42,10,-7.7,-7.15,-7.05,0.15166666666666645,6,0.6,0.7881600187259493,2.6452757488155236,2.5078480000000005,0.4510219149590746,1.0
pairA,EGFR/VEGFR2,POLYGON,43,10,-8.7,-7.970000000000001,-7.85,0.10011111111111101,10,1.0,0.7754812683957173,2.526776510722283,3.0168920000000012,0.40403220466653317,1.0
pairA,EGFR/VEGFR2,POLYGON,44,10,-8.7,-7.68,-7.75,0.4751111111111112,8,0.8,0.7482702173958418,2.591750161516907,2.982450000000001,0.4851920179304205,1.0
pairA,EGFR/VEGFR2,POLYGON,45,10,-9.0,-7.68,-7.65,0.3706666666666668,9,0.9,0.7695264514497109,2.586097825604095,3.1290980000000013,0.4886669909696703,1.0
pairA,EGFR/VEGFR2,POLYGON,46,10,-8.0,-7.3,-7.25,0.15999999999999986,8,0.8,0.7661109554688725,2.601908621941655,2.9738800000000007,0.446499325241252,1.0
pairA,EGFR/VEGFR2,POLYGON,47,10,-8.1,-7.340000000000001,-7.4,0.3404444444444443,8,0.8,0.7607188326506404,2.886370438335176,2.5683560000000005,0.5402387140795717,1.0
pairA,EGFR/VEGFR2,POLYGON,48,10,-8.0,-7.56,-7.699999999999999,0.15377777777777776,10,1.0,0.7374934161510747,2.4068538423399604,3.2007900000000014,0.4545217144768302,1.0
pairA,EGFR/VEGFR2,POLYGON,49,10,-8.1,-7.459999999999999,-7.550000000000001,0.22488888888888875,9,0.9,0.7477937348484687,2.6098845313227534,3.6731000000000016,0.44577402188989135,1.0
pairA,EGFR/VEGFR2,POLYGON,50,10,-8.0,-7.390000000000001,-7.6,0.29433333333333317,8,0.8,0.7551401497813917,2.452657202901242,3.0561260000000012,0.48581946945306187,1.0
pairA,EGFR/VEGFR2,POLYGON,51,10,-9.1,-7.7,-7.6,0.5266666666666663,8,0.8,0.7606799449050088,2.5880832271814773,2.9964600000000012,0.40496630374440007,1.0
pairA,EGFR/VEGFR2,REINVENT4,42,10,-7.5,-6.32,-6.4,0.5373333333333334,2,0.2,0.7708080365255221,2.6279078801330082,1.6166820000000004,0.4961585636585636,1.0
pairA,EGFR/VEGFR2,REINVENT4,43,10,-7.9,-6.95,-7.05,0.37833333333333347,6,0.6,0.8247959798069523,2.711098368755037,1.9649140000000003,0.48046493195365925,1.0
pairA,EGFR/VEGFR2,REINVENT4,44,10,-8.3,-7.0200000000000005,-7.25,1.0617777777777784,6,0.6,0.7847583231042188,2.8380049169983237,2.28907,0.493054820581746,1.0
pairA,EGFR/VEGFR2,REINVENT4,45,10,-7.5,-6.74,-6.85,0.3382222222222221,5,0.5,0.8738281292636014,2.8557504563717204,2.413850000000001,0.470321335555017,1.0
pairA,EGFR/VEGFR2,REINVENT4,46,10,-8.8,-7.7299999999999995,-7.550000000000001,0.7067777777777782,8,0.8,0.796202895841055,2.471357664595492,3.192202000000001,0.45338476546422973,1.0
pairA,EGFR/VEGFR2,REINVENT4,47,10,-7.8,-6.540000000000001,-6.35,0.627111111111111,4,0.4,0.7781348928727497,2.797020004295507,2.012576000000001,0.4971861635640389,1.0
pairA,EGFR/VEGFR2,REINVENT4,48,10,-8.2,-6.9,-7.0,0.47777777777777725,5,0.5,0.7973918724041356,2.737927990682856,2.3694100000000007,0.5207223870097544,1.0
pairA,EGFR/VEGFR2,REINVENT4,49,10,-7.7,-7.19,-7.35,0.2321111111111109,8,0.8,0.8168067260823891,2.2870751191974246,2.9866080000000013,0.44126153410584956,1.0
pairA,EGFR/VEGFR2,REINVENT4,50,10,-8.4,-7.08,-6.9,0.464,5,0.5,0.8139646348547455,2.6641792931925514,1.5415020000000001,0.5132485329311871,1.0
pairA,EGFR/VEGFR2,REINVENT4,51,10,-8.1,-7.45,-7.75,0.5405555555555553,8,0.8,0.8169775369797897,2.550673423831545,2.4804520000000005,0.46999445398737844,1.0
pairA,EGFR/VEGFR2,DrugEx v2,42,10,-9.3,-7.63,-7.5,0.45344444444444476,9,0.9,0.8376541747376528,2.5105434801349804,2.770012000000001,0.27445197737214544,1.0
pairA,EGFR/VEGFR2,DrugEx v2,43,10,-8.2,-7.57,-7.65,0.2067777777777778,9,0.9,0.7695250084290576,2.487539061702104,2.8591180000000014,0.3917255553355223,1.0
pairA,EGFR/VEGFR2,DrugEx v2,44,10,-8.1,-7.279999999999999,-7.199999999999999,0.4973333333333335,6,0.6,0.7805148903887434,2.4932088754825217,2.831736000000001,0.2491534760337367,0.8
pairA,EGFR/VEGFR2,DrugEx v2,45,10,-8.3,-7.540000000000001,-7.55,0.37155555555555553,9,0.9,0.8483249197648177,2.404607608053817,2.1959340000000003,0.343784001463674,1.0
pairA,EGFR/VEGFR2,DrugEx v2,46,10,-8.0,-7.390000000000001,-7.3,0.13211111111111118,9,0.9,0.8222208262147989,2.3396235077137075,3.2322620000000013,0.36220872023224226,1.0
pairA,EGFR/VEGFR2,DrugEx v2,47,10,-8.1,-7.31,-7.2,0.30322222222222206,7,0.7,0.7669945617749515,2.346234645347174,2.4477720000000005,0.25836441061796345,0.8
pairA,EGFR/VEGFR2,DrugEx v2,48,10,-8.5,-7.409999999999999,-7.35,0.22766666666666666,8,0.8,0.7846118986045825,2.590582086006644,2.2171520000000005,0.36429758940510026,1.0
pairA,EGFR/VEGFR2,DrugEx v2,49,10,-8.1,-7.2,-7.25,0.4177777777777778,8,0.8,0.8067093239662627,2.5735754673748015,2.353348000000001,0.25801307280100144,0.7
pairA,EGFR/VEGFR2,DrugEx v2,50,10,-8.3,-7.32,-7.3,0.2528888888888891,6,0.6,0.8346076025718687,2.546516940634161,1.8528560000000003,0.32909749057342497,0.9
pairA,EGFR/VEGFR2,DrugEx v2,51,10,-7.9,-7.2700000000000005,-7.45,0.2845555555555557,7,0.7,0.8151714429105432,2.276691427717778,2.4291580000000006,0.30202236763885043,0.9
pairA,EGFR/VEGFR2,MO-LSO,42,10,-8.7,-7.859999999999999,-8.0,0.3448888888888884,9,0.9,0.72175437257352,2.999363285547917,3.2528640000000015,0.5287400935600503,1.0
pairA,EGFR/VEGFR2,MO-LSO,43,10,-8.5,-7.5200000000000005,-7.9,0.7884444444444445,7,0.7,0.7420080996361076,3.072575285990152,2.8582600000000014,0.5565728543377199,1.0
pairA,EGFR/VEGFR2,MO-LSO,44,10,-8.5,-7.609999999999999,-7.5,0.5054444444444447,8,0.8,0.7938167764724755,3.071832417239079,3.4936320000000016,0.6053573795361994,1.0
pairA,EGFR/VEGFR2,MO-LSO,45,10,-8.4,-7.8,-7.9,0.23555555555555532,9,0.9,0.7076609742142244,3.204430561511687,3.8490560000000023,0.5806788127142686,1.0
pairA,EGFR/VEGFR2,MO-LSO,46,10,-8.2,-7.67,-7.6,0.1134444444444444,10,1.0,0.7192955188917389,2.7821301001027257,3.2769520000000023,0.5846928989005347,1.0
pairA,EGFR/VEGFR2,MO-LSO,47,10,-8.8,-7.959999999999999,-8.1,0.4960000000000002,9,0.9,0.7246164719364655,3.0795761744434094,2.8264220000000013,0.6022699574296329,1.0
pairA,EGFR/VEGFR2,MO-LSO,48,10,-8.5,-7.82,-7.75,0.11955555555555554,10,1.0,0.7558841994871647,2.767408888530185,3.4867980000000016,0.5611752088777985,1.0
pairA,EGFR/VEGFR2,MO-LSO,49,10,-9.1,-7.68,-7.550000000000001,0.5884444444444442,9,0.9,0.7486157349403934,3.2171739836065525,2.5725020000000005,0.5315198567510645,1.0
pairA,EGFR/VEGFR2,MO-LSO,50,10,-8.0,-7.05,-7.25,0.7183333333333332,6,0.6,0.77112565873475,2.7142504007688815,3.5856040000000013,0.6081128025514106,1.0
pairA,EGFR/VEGFR2,MO-LSO,51,10,-8.8,-7.88,-7.85,0.16177777777777802,10,1.0,0.7166108487081029,2.777022816116528,3.8072440000000016,0.5735144129288903,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,42,10,-9.0,-8.440000000000001,-8.5,0.1426666666666666,10,1.0,0.7528278239779095,3.74409494906525,2.7199100000000005,0.6265293448518989,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,43,10,-7.5,-7.08,-7.0,0.10400000000000006,5,0.5,0.6807858229761865,3.0245993554814112,3.4558340000000016,0.5131061387399055,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,44,10,-8.7,-7.67,-7.8,0.4334444444444443,8,0.8,0.7362265023392073,3.1394914494666004,3.7015180000000023,0.49840266071690065,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,45,10,-9.1,-7.7299999999999995,-7.6,0.2778888888888888,10,1.0,0.819066280998948,3.0113789700468936,3.611790000000002,0.588568920349368,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,46,10,-8.8,-7.859999999999999,-7.9,0.3004444444444443,10,1.0,0.7586741377677045,3.243197529307787,3.639758000000002,0.5131833634808801,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,47,10,-7.8,-7.37,-7.449999999999999,0.12011111111111111,9,0.9,0.7142633887658032,3.2728384287352354,4.464694000000003,0.5763198379182863,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,48,10,-8.1,-7.83,-7.9,0.12455555555555547,9,0.9,0.7339513050567855,3.0324237008500687,3.8255360000000023,0.5412560373699982,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,49,10,-8.0,-7.44,-7.45,0.07377777777777776,10,1.0,0.8036130528015081,2.6937015174733814,3.9144820000000022,0.49056410852296617,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,50,10,-7.5,-7.0200000000000005,-7.0,0.048444444444444464,6,0.6,0.8730739350160924,3.113001369732399,3.3940320000000015,0.6244575600442966,1.0
pairA,EGFR/VEGFR2,GraphPareto-NSGA-II,51,10,-8.3,-7.7700000000000005,-7.800000000000001,0.15788888888888883,10,1.0,0.6795594821395774,3.099995402278746,2.0105380000000004,0.5189716570295093,1.0
pairB,PARP1/BRD4,CLOVER-Mol,42,10,-8.7,-7.890000000000001,-7.95,0.24988888888888874,10,1.0,0.7211922513441074,2.658455821036996,2.5340860000000007,0.44586735410411843,1.0
pairB,PARP1/BRD4,CLOVER-Mol,43,10,-9.1,-8.14,-7.95,0.27377777777777773,10,1.0,0.7500630495506521,2.4447412325065576,2.757536000000001,0.45609604121101244,1.0
pairB,PARP1/BRD4,CLOVER-Mol,44,10,-8.9,-8.290000000000001,-8.2,0.10322222222222238,10,1.0,0.7450572435261009,2.4734141707648405,2.3905560000000006,0.41781173532631444,1.0
pairB,PARP1/BRD4,CLOVER-Mol,45,10,-8.7,-7.88,-7.9,0.3128888888888884,9,0.9,0.7239741152763136,2.4574367131241748,2.538182000000001,0.47701032960417633,1.0
pairB,PARP1/BRD4,CLOVER-Mol,46,10,-8.9,-7.9799999999999995,-8.149999999999999,0.41288888888888875,9,0.9,0.7112769613198726,2.5235986685219443,2.635668000000001,0.39756360397662815,1.0
pairB,PARP1/BRD4,CLOVER-Mol,47,10,-9.2,-7.81,-7.55,0.4698888888888884,10,1.0,0.7058117816148143,2.4966020188573745,2.621766000000001,0.43749475083245776,1.0
pairB,PARP1/BRD4,CLOVER-Mol,48,10,-8.8,-8.01,-8.05,0.1876666666666671,10,1.0,0.7012949931239426,2.6419315685279683,2.3572660000000005,0.48235067877725807,1.0
pairB,PARP1/BRD4,CLOVER-Mol,49,10,-8.9,-8.18,-8.1,0.2884444444444449,10,1.0,0.7271860577326617,2.5557467137061467,2.1207900000000004,0.45837630658220513,1.0
pairB,PARP1/BRD4,CLOVER-Mol,50,10,-8.7,-7.93,-7.85,0.29566666666666674,10,1.0,0.7021364720357215,2.5708840882274844,2.078072,0.426695982195585,1.0
pairB,PARP1/BRD4,CLOVER-Mol,51,10,-8.6,-7.909999999999999,-8.05,0.3676666666666667,9,0.9,0.7118990714995019,2.677876794670904,2.4852280000000007,0.49862040694847093,1.0
pairB,PARP1/BRD4,POLYGON,42,10,-8.7,-8.15,-8.25,0.2050000000000001,10,1.0,0.7564991822671837,2.746780553216458,1.9655900000000002,0.4658956090818515,1.0
