smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
C/C=C/Cn1cc(-c2cccc(C(N)=O)c2F)c2cc[nH]c2c1=O,5.92,1,0.0,5.92,5.92,2019,2019,1,1,O=c1[nH]cc(-c2ccccc2)c2cc[nH]c12,0.0
C/C=C/S(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3ccccc23)c1,7.1,1,0.0,7.1,7.1,2021,2021,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccccc12,0.0
C/C=C1\C(=O)Nc2ccc(NS(=O)(=O)c3ccccc3OC)cc21,7.44,1,0.0,7.44,7.44,2020,2020,1,1,C=C1C(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)cc21,0.0
C=C(C)CC1(O)C(=O)Nc2ccc(-c3c(C)noc3C)cc21,5.41,2,0.0,5.41,5.41,2016,2016,1,2,O=C1Cc2cc(-c3cnoc3)ccc2N1,0.0
C=C(C)c1ccc(OC(C)C)c(-c2cn(C)c(=O)c3[nH]c(C(=O)NCc4ccc(C(=O)NCCCCNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4)cc23)c1,6.965,2,0.049497474683058526,6.93,7.0,2022,2022,1,2,O=C1CCC(N2C(=O)c3cccc(NCCCCNC(=O)c4ccc(CNC(=O)c5cc6c(-c7ccccc7)c[nH]c(=O)c6[nH]5)cc4)c3C2=O)C(=O)N1,0.07000000000000028
C=C(C)c1ccc(Oc2c(C)cc(F)cc2C)c(-c2cn(C)c(=O)c3cc(C(=O)NCC)sc23)c1,6.13,1,0.0,6.13,6.13,2023,2023,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2sccc12,0.0
C=C(C)c1ccc(Oc2c(C)cc(F)cc2C)c(-c2cn(C)c(=O)c3sc(C(=O)NCC)cc23)c1,6.99,1,0.0,6.99,6.99,2023,2023,1,1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2ccsc12,0.0
C=C(C)c1ccc(Oc2ccccc2)c(-c2cn(C)c(=O)c3[nH]c(C(=O)NCc4ccc(C(=O)NCCCCNc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)cc4)cc23)c1,6.875,2,0.36062445840513907,6.62,7.13,2022,2022,1,2,O=C1CCC(N2C(=O)c3cccc(NCCCCNC(=O)c4ccc(CNC(=O)c5cc6c(-c7ccccc7Oc7ccccc7)c[nH]c(=O)c6[nH]5)cc4)c3C2=O)C(=O)N1,0.5099999999999998
C=C(c1ccc(OC)cc1)c1cccc2c1O[C@H](C)CC(=O)N2,5.33,1,0.0,5.33,5.33,2019,2019,1,1,C=C(c1ccccc1)c1cccc2c1OCCC(=O)N2,0.0
C=CC(=O)N(C)c1ccc(Oc2ccc(F)cc2F)c(-c2cc(NC)c(=O)n(C)c2)c1,6.87,1,0.0,6.87,6.87,2021,2021,1,1,O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,0.0
