smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
CC#CCOc1ccc(C(=O)C2CCN(CC(=O)N(Cc3nc4c(c(=O)[nH]3)COCC4)CC3CC3)CC2)cc1,4.83,1,0.0,4.83,4.83,2015,2015,1,1,O=C(c1ccccc1)C1CCN(CC(=O)N(Cc2nc3c(c(=O)[nH]2)COCC3)CC2CC2)CC1,0.0
CC#Cc1cnc2c(C(N)=O)cccc2c1,5.66,1,0.0,5.66,5.66,2009,2009,1,1,c1ccc2ncccc2c1,0.0
CC(=O)C1=C(C)N(C(=O)c2ccccc2)C(NNS(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)S1,8.08,1,0.0,8.08,8.08,2023,2023,1,1,O=C(c1ccccc1)N1C=CSC1NNS(=O)(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,0.0
CC(=O)N1CCCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,7.72,1,0.0,7.72,7.72,2010,2010,1,1,O=C(c1cccc(Cc2c[nH]c(=O)c3cccn23)c1)N1CCCNCC1,0.0
CC(=O)N1CCCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,7.92,1,0.0,7.92,7.92,2008,2008,1,1,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCCNCC1,0.0
CC(=O)N1CCCN(CC2=Nc3cccc4c(=O)[nH]nc(c34)N2)CC1,7.31,1,0.0,7.31,7.31,2014,2014,1,1,O=c1[nH]nc2c3c(cccc13)N=C(CN1CCCNCC1)N2,0.0
CC(=O)N1CCC[C@H]1C(=O)N1CCc2cccc3c2C1CNC3=O,7.85,1,0.0,7.85,7.85,2010,2010,1,1,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CCCN1,0.0
CC(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,8.2,1,0.0,8.2,8.2,2010,2010,1,1,O=C(c1cccc(Cc2c[nH]c(=O)c3cccn23)c1)N1CCNCC1,0.0
CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,8.15,1,0.0,8.15,8.15,2017,2017,1,1,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCNCC1,0.0
CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,8.22,1,0.0,8.22,8.22,2008,2008,1,1,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCNCC1,0.0
CC(=O)N1CCN(C(=O)c2csc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,6.91,1,0.0,6.91,6.91,2014,2014,1,1,O=C(c1csc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCNCC1,0.0
CC(=O)N1CCN(Cc2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)CC1,7.37,1,0.0,7.37,7.37,2021,2021,1,1,O=c1cc(-c2ccccc2)oc2c(CN3CCNCC3)cccc12,0.0
CC(=O)N1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,8.88,1,0.0,8.88,8.88,2022,2022,1,1,O=C1NCCc2c(-c3ccc(CN4CCNCC4)cc3)[nH]c3cccc1c23,0.0
