smiles,pactivity,n_measurements,pactivity_sd,pactivity_min,pactivity_max,first_document_year,last_document_year,n_documents,n_assays,scaffold,pactivity_span
CC(C)c1n[nH]cc1-c1ccnc(Nc2ccc3c(c2)N(C(C)C)[C@H](C)C(=O)N3C)n1,7.35,1,0.0,7.35,7.35,2025,2025,1,1,O=C1CNc2cc(Nc3nccc(-c4cn[nH]c4)n3)ccc2N1,0.0
CCNC(=O)c1cn(Cc2ccccc2)c(-c2cc(C)c(=O)n(C)c2)n1,6.7,2,0.4242640687119283,6.4,7.0,2024,2024,1,2,O=c1ccc(-c2nccn2Cc2ccccc2)c[nH]1,0.5999999999999996
CCOC(C)n1cc(-c2cc3c(cc2NS(=O)(=O)c2ccccc2OC)C(=C(C)C)C(=O)N3)cn1,6.555,2,0.34648232278140845,6.31,6.8,2024,2024,1,2,C=C1C(=O)Nc2cc(-c3cn[nH]c3)c(NS(=O)(=O)c3ccccc3)cc21,0.4900000000000002
CCO[C@H]1CC[C@H](n2c([C@@H]3C[C@H](F)C(=O)N3c3ccc(F)c(F)c3)nc3cc(-c4c(C)noc4C)ccc32)CC1,6.69,1,0.0,6.69,6.69,2024,2024,1,1,O=C1CCC(c2nc3cc(-c4cnoc4)ccc3n2C2CCCCC2)N1c1ccccc1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(N)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,7.79,1,0.0,7.79,7.79,2024,2024,1,1,O=c1ccc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)c[nH]1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC(C)=O)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,6.15,1,0.0,6.15,6.15,2024,2024,1,1,O=c1ccc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)c[nH]1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,7.8,1,0.0,7.8,7.8,2024,2024,1,1,O=c1ccc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)c[nH]1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC3CCN(C(=O)C4CC4)CC3)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,6.0,1,0.0,6.0,6.0,2024,2024,1,1,O=C(C1CC1)N1CCC(Nc2cc(-c3ccc4ccn(C(c5ccccn5)c5ccccn5)c4c3)c[nH]c2=O)CC1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC3CCN(C(=O)OC(C)(C)C)CC3)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,5.57,1,0.0,5.57,5.57,2024,2024,1,1,O=c1[nH]cc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)cc1NC1CCNCC1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC3CCN(C)CC3)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,5.28,1,0.0,5.28,5.28,2024,2024,1,1,O=c1[nH]cc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)cc1NC1CCNCC1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC3CCN(S(=O)(=O)CC)CC3)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,5.72,1,0.0,5.72,5.72,2024,2024,1,1,O=c1[nH]cc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)cc1NC1CCNCC1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC3CCN(S(C)(=O)=O)CC3)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,6.36,1,0.0,6.36,6.36,2024,2024,1,1,O=c1[nH]cc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)cc1NC1CCNCC1,0.0
CCS(=O)(=O)Nc1cc(-c2cc(NC3CCNCC3)c(=O)n(C)c2)cc2c1ccn2C(C)(c1ccccn1)c1ccccn1,5.51,1,0.0,5.51,5.51,2024,2024,1,1,O=c1[nH]cc(-c2ccc3ccn(C(c4ccccn4)c4ccccn4)c3c2)cc1NC1CCNCC1,0.0
